Innings Player,Innings Runs Scored Num,not_out,Innings Balls Faced,Country,Opposition,Innings Date
RA Smith,167,1,163,England,Australia,1993/05/21
DI Gower,158,0,118,England,New Zealand,1983/01/15
CWJ Athey,142,1,172,England,New Zealand,1986/07/18
GA Gooch,142,0,134,England,Pakistan,1987/11/20
DL Amiss,137,0,147,England,India,1975/06/07
GA Gooch,136,0,162,England,Australia,1989/05/29
KWR Fletcher,131,0,147,England,New Zealand,1975/06/11
DI Gower,130,0,120,England,Sri Lanka,1983/06/11
GA Gooch,129,1,118,England,West Indies,1986/03/04
RA Smith,129,0,145,England,India,1993/03/04
RA Smith,128,0,168,England,New Zealand,1990/05/23
MA Atherton,127,0,160,England,West Indies,1995/05/28
GA Hick,126,1,118,England,Sri Lanka,1999/01/23
NV Knight,125,1,145,England,Pakistan,1996/09/01
W Larkins,124,0,126,England,Australia,1989/10/19
DI Gower,122,0,134,England,New Zealand,1983/01/13
NV Knight,122,0,130,England,West Indies,1998/03/29
AJ Lamb,118,0,121,England,Pakistan,1982/07/17
AD Brown,118,0,137,England,India,1996/05/26
CT Radley,117,1,140,England,New Zealand,1978/07/17
GA Gooch,117,1,164,England,Australia,1985/06/03
D Lloyd,116,1,159,England,Pakistan,1974/08/31
AJ Stewart,116,0,111,England,India,1997/12/11
MW Gatting,115,1,135,England,India,1984/12/05
GA Gooch,115,0,159,England,Australia,1985/06/01
GA Gooch,115,0,136,England,India,1987/11/05
DI Gower,114,1,122,England,Pakistan,1978/05/26
MA Atherton,113,1,149,England,Australia,1997/05/24
NH Fairbrother,113,0,109,England,West Indies,1991/05/27
NV Knight,113,0,132,England,Pakistan,1996/08/31
GA Gooch,112,1,152,England,New Zealand,1990/05/25
CWJ Athey,111,0,152,England,Australia,1987/01/18
DI Gower,109,0,85,England,New Zealand,1983/01/29
GA Hick,109,0,119,England,Australia,1999/01/26
AJ Lamb,108,1,106,England,New Zealand,1983/01/20
DL Amiss,108,0,146,England,Australia,1977/06/06
GA Gooch,108,0,113,England,Australia,1980/08/22
GA Hick,108,0,129,England,Australia,1999/01/17
BC Broad,106,0,140,England,New Zealand,1988/03/16
GA Hick,105,1,109,England,India,1993/03/05
G Boycott,105,0,124,England,Australia,1979/12/11
GA Hick,104,1,133,England,Netherlands,1996/02/22
DL Amiss,103,0,134,England,Australia,1972/08/24
RA Smith,103,0,105,England,India,1990/07/20
AJ Stewart,103,0,145,England,Pakistan,1992/05/22
AJ Lamb,102,0,105,England,New Zealand,1983/06/09
DI Gower,102,0,118,England,Australia,1985/06/03
DI Gower,101,1,100,England,Australia,1979/02/04
AJ Stewart,101,0,144,England,Zimbabwe,2000/07/18
AJ Lamb,100,1,105,England,Australia,1989/05/27
AJ Stewart,100,1,147,England,West Indies,2000/07/20
DL Amiss,100,0,121,England,New Zealand,1973/07/18
G Boycott,99,0,159,England,Australia,1980/08/20
AJ Lamb,99,0,109,England,India,1982/06/04
BC Broad,99,0,168,England,Pakistan,1987/05/21
AJ Lamb,97,1,140,England,New Zealand,1984/02/25
BC Broad,97,0,130,England,Pakistan,1987/01/05
AJ Stewart,97,0,123,England,Zimbabwe,2000/07/22
MW Gatting,96,0,131,England,Australia,1981/06/06
N Hussain,95,0,120,England,Bangladesh,2000/10/05
GA Gooch,94,0,129,England,New Zealand,1978/07/15
AJ Lamb,94,0,76,England,Australia,1983/01/23
NV Knight,94,0,136,England,Sri Lanka,1998/08/20
N Hussain,93,0,114,England,Australia,1999/01/17
DI Gower,92,1,96,England,New Zealand,1983/06/15
GA Gooch,92,0,137,England,West Indies,1987/10/26
MA Atherton,92,0,118,England,West Indies,1995/05/26
GA Gooch,91,0,102,England,New Zealand,1986/07/18
AJ Lamb,91,0,109,England,India,1989/10/25
RA Smith,91,0,108,England,India,1992/02/22
AJ Stewart,91,0,126,England,India,1993/01/18
GA Hick,91,0,120,England,Australia,1995/01/10
GA Hick,91,0,102,England,India,1996/05/23
JH Edrich,90,0,97,England,India,1974/07/13
NV Knight,90,0,107,England,West Indies,1998/04/01
GP Thorpe,89,0,119,England,Zimbabwe,1995/01/07
GP Thorpe,89,0,82,England,Netherlands,1996/02/22
N Hussain,88,1,127,England,Kenya,1999/05/18
DL Amiss,88,0,116,England,East Africa,1975/06/14
DW Randall,88,0,133,England,West Indies,1976/08/28
AJ Stewart,88,0,146,England,Sri Lanka,1999/05/14
GA Hick,87,1,108,England,Zimbabwe,2000/02/16
ME Trescothick,87,1,107,England,West Indies,2000/07/15
AJ Stewart,87,1,112,England,Bangladesh,2000/10/05
G Boycott,86,1,134,England,Australia,1979/12/26
GA Hick,86,1,102,England,West Indies,1991/05/27
GA Gooch,86,0,119,England,Australia,1987/04/09
CWJ Athey,86,0,104,England,Pakistan,1987/10/20
MA Atherton,86,0,146,England,West Indies,1994/02/16
GA Hick,86,0,97,England,Sri Lanka,1998/08/16
RA Smith,85,1,91,England,Pakistan,1992/08/24
RA Smith,85,0,71,England,New Zealand,1992/02/15
RA Smith,85,0,117,England,Pakistan,1992/05/20
GA Hick,85,0,102,England,Australia,1993/05/19
MA Atherton,85,0,110,England,South Africa,1996/01/11
GA Hick,85,0,102,England,New Zealand,1996/02/14
N Hussain,85,0,114,England,South Africa,2000/01/23
NV Knight,84,1,70,England,New Zealand,1997/02/23
DI Gower,84,0,110,England,New Zealand,1983/02/19
GA Gooch,84,0,100,England,Sri Lanka,1987/10/17
KJ Barnett,84,0,146,England,Sri Lanka,1988/09/04
NV Knight,84,0,93,England,India,1999/04/11
A Flintoff,84,0,60,England,Pakistan,2000/10/24
CJ Tavare,83,1,127,England,New Zealand,1983/01/20
AJ Hollioake,83,1,91,England,South Africa,1998/10/25
RT Robinson,83,0,104,England,Pakistan,1987/04/07
GA Hick,83,0,90,England,South Africa,1992/03/22
CJ Tavare,82,1,129,England,West Indies,1980/05/28
MW Gatting,82,1,125,England,West Indies,1988/05/19
JH Edrich,82,0,119,England,Australia,1971/01/05
GP Thorpe,82,0,104,England,New Zealand,1997/02/20
G Fowler,81,1,77,England,Sri Lanka,1983/06/20
RA Smith,81,1,119,England,Sri Lanka,1989/10/15
NH Fairbrother,81,1,119,England,Sri Lanka,1999/01/29
AJ Lamb,81,0,69,England,Pakistan,1985/03/02
DI Gower,81,0,94,England,India,1986/05/26
MA Atherton,81,0,137,England,New Zealand,1994/05/19
GA Hick,81,0,116,England,South Africa,1994/08/25
AJ Stewart,81,0,110,England,New Zealand,1997/02/20
GD Barlow,80,1,139,England,West Indies,1976/08/26
GA Hick,80,0,95,England,Zimbabwe,2000/02/20
GP Thorpe,79,1,118,England,India,1996/05/25
CT Radley,79,0,129,England,Pakistan,1978/05/24
IT Botham,79,0,73,England,New Zealand,1992/02/15
AJ Stewart,79,0,106,England,Australia,1997/05/25
GP Thorpe,79,0,88,England,India,1999/04/11
ME Trescothick,79,0,102,England,Zimbabwe,2000/07/08
B Wood,78,1,137,England,India,1982/06/02
G Fowler,78,1,151,England,Pakistan,1983/06/13
NH Fairbrother,78,1,71,England,Sri Lanka,1999/01/23
JM Brearley,78,0,113,England,Australia,1977/06/06
G Boycott,78,0,98,England,Australia,1980/08/22
AJ Lamb,77,1,102,England,Australia,1987/01/22
B Wood,77,0,138,England,East Africa,1975/06/14
DI Gower,77,0,98,England,Australia,1983/01/30
AJ Stewart,77,0,88,England,South Africa,1992/03/12
RA Smith,77,0,72,England,Pakistan,1992/08/20
DI Gower,76,0,90,England,India,1982/06/04
MW Gatting,76,0,81,England,Pakistan,1982/07/19
BC Broad,76,0,113,England,Australia,1987/01/01
BC Broad,76,0,143,England,West Indies,1987/02/03
AJ Lamb,76,0,58,England,Sri Lanka,1987/10/17
G Boycott,75,1,135,England,Australia,1981/06/04
NH Fairbrother,75,1,83,England,South Africa,1992/03/12
GP Thorpe,75,1,108,England,Australia,1997/05/22
AJ Lamb,75,0,89,England,West Indies,1984/05/31
RA Smith,75,0,92,England,Pakistan,1996/03/03
AJ Stewart,74,1,110,England,West Indies,2000/07/15
GA Gooch,74,0,85,England,Sri Lanka,1982/02/14
MA Atherton,74,0,123,England,West Indies,1991/05/25
AJ Stewart,74,0,119,England,Australia,1993/05/23
AJ Stewart,74,0,127,England,West Indies,1995/05/24
AJ Stewart,74,0,85,England,West Indies,1998/03/29
NV Knight,74,0,114,England,South Africa,1998/08/18
GA Hick,73,1,88,England,Sri Lanka,1999/05/14
JP Crawley,73,0,109,England,Zimbabwe,1997/01/01
N Hussain,73,0,99,England,Pakistan,2000/10/24
GP Thorpe,72,1,85,England,South Africa,1996/01/11
NV Knight,72,1,94,England,Zimbabwe,2000/01/30
IT Botham,72,0,82,England,Australia,1985/05/30
AJ Lamb,72,0,110,England,New Zealand,1990/12/13
RA Smith,72,0,106,England,India,1993/03/05
MW Gatting,71,1,58,England,India,1981/12/20
GA Hick,71,1,51,England,Pakistan,1992/05/22
NV Knight,71,1,112,England,South Africa,2000/01/23
GA Gooch,71,0,84,England,New Zealand,1979/06/20
AJ Lamb,71,0,108,England,West Indies,1987/01/03
IT Botham,71,0,52,England,Australia,1987/02/08
G Boycott,70,0,115,England,West Indies,1980/05/30
DW Randall,70,0,85,England,New Zealand,1984/02/18
CL Smith,70,0,118,England,New Zealand,1984/02/22
MD Moxon,70,0,124,England,India,1985/01/23
MA Atherton,69,1,147,England,West Indies,1991/05/23
GA Gooch,69,0,123,England,Australia,1980/01/14
KWR Fletcher,69,0,52,England,India,1982/01/27
G Fowler,69,0,112,England,New Zealand,1983/06/15
G Fowler,69,0,96,England,Pakistan,1983/06/18
RA Smith,69,0,84,England,West Indies,1990/04/03
KWR Fletcher,68,0,107,England,India,1975/06/07
G Boycott,68,0,85,England,Australia,1979/12/08
G Boycott,68,0,114,England,West Indies,1979/12/23
IT Botham,68,0,39,England,Australia,1987/01/01
AJ Lamb,67,1,68,England,West Indies,1987/10/09
NH Fairbrother,67,1,105,England,Sri Lanka,1999/01/11
PAJ DeFreitas,67,0,64,England,Sri Lanka,1996/03/09
AJ Hollioake,66,1,84,England,Australia,1997/05/22
GP Thorpe,66,1,74,England,West Indies,1997/12/19
GA Hick,66,1,101,England,Sri Lanka,1999/01/19
MH Denness,66,0,117,England,West Indies,1973/09/05
CJ Tavare,66,0,120,England,India,1982/06/02
AJ Lamb,66,0,72,England,Australia,1987/01/01
BC Broad,66,0,110,England,Pakistan,1987/11/22
AJ Lamb,66,0,70,England,Sri Lanka,1988/09/04
AJ Lamb,66,0,97,England,West Indies,1990/03/03
AJ Stewart,66,0,88,England,West Indies,1994/02/26
GA Hick,66,0,81,England,West Indies,1995/05/26
MA Atherton,66,0,91,England,Pakistan,1996/03/03
IT Botham,65,0,54,England,New Zealand,1983/01/29
BC Broad,65,0,86,England,Pakistan,1987/04/07
RA Smith,65,0,74,England,West Indies,1989/10/27
RA Smith,65,0,95,England,New Zealand,1991/02/09
GA Gooch,65,0,101,England,West Indies,1992/02/27
MA Atherton,65,0,93,England,Pakistan,1996/08/29
NV Knight,65,0,67,England,West Indies,1998/04/08
GA Hick,65,0,90,England,Pakistan,1999/04/07
GA Hick,65,0,68,England,South Africa,2000/10/10
ME Trescothick,65,0,74,England,Pakistan,2000/10/27
GP Thorpe,64,1,66,England,Pakistan,2000/10/24
JM Brearley,64,0,130,England,West Indies,1979/06/23
P Willey,64,0,58,England,Australia,1979/12/11
GA Gooch,64,0,107,England,Sri Lanka,1982/02/13
CWJ Athey,64,0,110,England,West Indies,1987/01/24
GA Hick,64,0,88,England,Zimbabwe,1994/12/15
AJ Stewart,64,0,78,England,South Africa,1996/01/14
NV Knight,64,0,90,England,South Africa,1998/05/21
GA Hick,64,0,72,England,South Africa,1998/08/18
MA Atherton,64,0,73,England,Sri Lanka,1998/08/20
N Hussain,64,0,77,England,Zimbabwe,2000/01/30
NV Knight,64,0,111,England,South Africa,2000/02/04
JE Morris,63,1,45,England,New Zealand,1990/12/01
KWR Fletcher,63,0,80,England,West Indies,1973/09/07
G Boycott,63,0,92,England,West Indies,1980/01/22
NH Fairbrother,63,0,70,England,Sri Lanka,1992/03/09
NH Fairbrother,63,0,65,England,Pakistan,1992/05/22
GA Hick,63,0,42,England,Pakistan,1992/08/20
RA Smith,63,0,90,England,South Africa,1996/01/14
GP Thorpe,63,0,74,England,South Africa,1996/01/17
BC Hollioake,63,0,48,England,Australia,1997/05/25
AJ Lamb,62,0,50,England,West Indies,1991/05/25
NH Fairbrother,62,0,70,England,Pakistan,1992/03/25
NH Fairbrother,62,0,63,England,Pakistan,1992/08/20
GP Thorpe,62,0,96,England,South Africa,1996/01/09
GP Thorpe,62,0,80,England,Pakistan,1999/04/12
GP Thorpe,62,0,80,England,Zimbabwe,1999/05/25
RA Smith,61,1,71,England,New Zealand,1992/01/11
NH Fairbrother,61,1,52,England,West Indies,1995/05/26
GA Hick,61,1,89,England,Kenya,1999/05/18
AJ Lamb,61,0,71,England,Pakistan,1987/05/21
GA Gooch,61,0,79,England,Sri Lanka,1987/10/30
DI Gower,61,0,100,England,Australia,1989/05/29
AJ Stewart,61,0,80,England,India,1989/10/25
AJ Lamb,61,0,62,England,New Zealand,1991/02/09
KWR Fletcher,60,0,76,England,Australia,1972/08/24
IT Botham,60,0,108,England,West Indies,1981/02/04
IT Botham,60,0,51,England,Sri Lanka,1982/02/13
MW Gatting,60,0,65,England,Pakistan,1987/10/20
AJ Lamb,60,0,70,England,Pakistan,1992/05/20
MA Atherton,60,0,103,England,Australia,1994/12/06
AJ Lamb,59,1,75,England,India,1985/01/20
DI Gower,59,0,74,England,West Indies,1979/12/23
MW Gatting,59,0,86,England,India,1984/12/27
GA Gooch,59,0,106,England,West Indies,1989/10/27
MA Atherton,59,0,95,England,India,1990/07/20
AJ Stewart,59,0,36,England,Sri Lanka,1992/03/09
NH Fairbrother,59,0,89,England,Australia,1993/05/19
AD Brown,59,0,40,England,South Africa,1998/05/24
P Willey,58,1,67,England,West Indies,1979/11/28
CJ Tavare,58,0,116,England,Pakistan,1983/06/18
MW Gatting,58,0,63,England,Sri Lanka,1987/10/17
CWJ Athey,58,0,103,England,Australia,1987/11/08
GA Gooch,58,0,112,England,Australia,1992/03/05
NV Knight,58,0,109,England,Sri Lanka,1999/02/03
N Hussain,58,0,98,England,Australia,1999/02/10
NH Fairbrother,57,1,92,England,South Africa,1996/01/13
N Hussain,57,1,93,England,Zimbabwe,1999/05/25
G Boycott,57,0,105,England,West Indies,1979/06/23
DW Randall,57,0,97,England,Australia,1983/01/16
AJ Lamb,57,0,78,England,Pakistan,1984/03/09
GA Gooch,57,0,123,England,Australia,1985/05/30
BC Broad,57,0,94,England,India,1987/04/02
GA Gooch,57,0,78,England,Pakistan,1987/11/22
GP Thorpe,57,0,75,England,West Indies,1997/12/13
NH Fairbrother,57,0,77,England,India,1999/04/09
P Willey,56,0,93,England,West Indies,1980/05/30
MW Gatting,56,0,62,England,India,1987/11/05
BC Broad,56,0,78,England,New Zealand,1988/03/12
GA Gooch,56,0,89,England,Australia,1989/10/19
AJ Lamb,56,0,77,England,India,1990/07/18
GA Hick,56,0,70,England,New Zealand,1992/03/15
GA Hick,56,0,73,England,India,1993/01/21
GA Hick,56,0,81,England,India,1993/02/26
RA Smith,56,0,64,England,West Indies,1994/02/26
SJ Rhodes,56,0,75,England,South Africa,1994/08/27
NH Fairbrother,56,0,78,England,South Africa,1998/10/25
GA Hick,56,0,51,England,Pakistan,2000/10/24
KWR Fletcher,55,1,79,England,India,1974/07/15
AJ Lamb,55,1,39,England,West Indies,1990/04/03
RT Robinson,55,0,107,England,West Indies,1986/03/31
BC Broad,55,0,96,England,West Indies,1987/01/24
RT Robinson,55,0,75,England,Sri Lanka,1987/10/30
RA Smith,55,0,57,England,Pakistan,1989/10/30
GA Gooch,55,0,88,England,New Zealand,1990/05/23
AJ Stewart,55,0,65,England,Australia,1991/01/10
AJ Lamb,55,0,78,England,Pakistan,1992/08/22
GP Thorpe,55,0,116,England,South Africa,1994/08/27
GA Hick,55,0,42,England,South Africa,1996/01/11
GP Thorpe,55,0,61,England,New Zealand,1997/02/26
GP Thorpe,55,0,82,England,New Zealand,1997/03/04
BC Rose,54,0,104,England,Pakistan,1977/12/23
GA Gooch,54,0,83,England,Australia,1980/08/20
NH Fairbrother,54,0,65,England,New Zealand,1988/03/19
GA Gooch,54,0,110,England,West Indies,1991/05/25
GA Hick,54,0,55,England,West Indies,1992/02/27
N Hussain,54,0,89,England,Pakistan,2000/10/27
NH Fairbrother,53,1,52,England,India,1993/03/01
AJ Hollioake,53,1,41,England,Australia,1997/05/24
GA Gooch,53,0,96,England,Australia,1979/06/09
JM Brearley,53,0,115,England,New Zealand,1979/06/20
GA Gooch,53,0,89,England,Australia,1981/06/04
DI Gower,53,0,81,England,India,1981/12/20
DI Gower,53,0,75,England,New Zealand,1983/02/26
AJ Lamb,53,0,51,England,Sri Lanka,1983/06/11
AJ Lamb,53,0,53,England,Australia,1985/02/17
BC Broad,53,0,87,England,Australia,1987/02/11
MW Gatting,53,0,51,England,Pakistan,1987/11/22
IT Botham,53,0,77,England,Australia,1992/03/05
AJ Stewart,53,0,38,England,West Indies,1994/03/06
MW Alleyne,53,0,68,England,South Africa,2000/02/04
DL Maddy,53,0,83,England,Zimbabwe,2000/02/20
TE Jesty,52,1,35,England,New Zealand,1983/01/29
GP Thorpe,52,1,64,England,Pakistan,1996/03/03
FC Hayes,52,0,50,England,East Africa,1975/06/14
RO Butcher,52,0,38,England,Australia,1980/08/22
IT Botham,52,0,52,England,India,1982/01/27
BC Broad,52,0,84,England,Pakistan,1987/05/23
GA Gooch,52,0,111,England,Australia,1989/05/25
AJ Lamb,52,0,66,England,Sri Lanka,1989/10/15
JP Crawley,52,0,78,England,Australia,1997/05/25
AJ Stewart,52,0,75,England,South Africa,1998/05/23
CM Old,51,1,30,England,India,1975/06/07
DW Randall,51,1,81,England,Pakistan,1977/12/30
DW Randall,51,1,54,England,Australia,1983/01/23
P Willey,51,0,77,England,Australia,1979/12/26
P Willey,51,0,91,England,West Indies,1980/01/20
CWJ Athey,51,0,67,England,Australia,1980/08/22
GA Gooch,51,0,89,England,India,1992/02/22
AJ Stewart,51,0,55,England,Pakistan,1992/08/24
MA Atherton,51,0,79,England,West Indies,1994/03/06
AJ Stewart,51,0,67,England,West Indies,1997/12/19
MR Ramprakash,51,0,67,England,West Indies,1998/04/08
NV Knight,51,0,79,England,South Africa,1998/05/24
AJ Stewart,51,0,67,England,Sri Lanka,1998/08/16
DJ Capel,50,1,40,England,Pakistan,1987/11/20
NH Fairbrother,50,1,75,England,New Zealand,1988/03/09
APE Knott,50,0,50,England,Australia,1972/08/26
DI Gower,50,0,80,England,New Zealand,1978/07/17
CJ Richards,50,0,60,England,West Indies,1987/01/03
DI Gower,50,0,66,England,Australia,1987/01/22
DI Gower,50,0,95,England,India,1990/07/18
RC Russell,50,0,50,England,India,1990/07/20
AJ Stewart,50,0,69,England,Pakistan,1992/05/20
A Flintoff,50,0,51,England,Pakistan,1999/04/07
GA Hick,50,0,58,England,Zimbabwe,2000/07/08
DR Pringle,49,1,52,England,India,1986/05/26
PAJ DeFreitas,49,1,57,England,Australia,1990/12/16
N Hussain,49,1,87,England,Zimbabwe,1996/12/15
D Lloyd,49,0,95,England,Australia,1975/01/01
DW Randall,49,0,80,England,West Indies,1979/11/28
IT Botham,49,0,28,England,Pakistan,1982/07/19
AJ Lamb,49,0,92,England,Australia,1983/01/11
DW Randall,49,0,56,England,Australia,1983/01/30
TA Lloyd,49,0,103,England,West Indies,1984/06/02
MW Gatting,49,0,72,England,Pakistan,1987/01/07
BC Broad,49,0,113,England,West Indies,1987/01/17
AJ Lamb,49,0,62,England,New Zealand,1990/12/01
MA Atherton,49,0,80,England,South Africa,1994/08/25
ME Trescothick,49,0,79,England,West Indies,2000/07/09
AJ Lamb,48,1,62,England,Pakistan,1983/06/13
AW Greig,48,0,54,England,West Indies,1973/09/05
CJ Tavare,48,0,83,England,Pakistan,1982/07/17
DI Gower,48,0,72,England,Pakistan,1983/06/13
MD Moxon,48,0,86,England,India,1985/02/26
DJ Capel,48,0,65,England,New Zealand,1988/03/09
MW Gatting,48,0,87,England,New Zealand,1988/03/19
GA Gooch,48,0,87,England,New Zealand,1990/12/15
AJ Stewart,48,0,73,England,Australia,1994/12/06
AJ Stewart,48,0,58,England,Pakistan,1996/08/29
MW Gatting,47,1,68,England,India,1981/11/25
RC Russell,47,1,71,England,New Zealand,1990/05/25
GA Hick,47,1,60,England,West Indies,1994/03/06
AJ Stewart,47,1,59,England,India,1996/05/25
DL Amiss,47,0,54,England,Australia,1975/01/01
DL Amiss,47,0,54,England,West Indies,1976/08/30
DI Gower,47,0,50,England,Australia,1981/06/04
DW Randall,47,0,64,England,Australia,1983/01/26
AJ Lamb,47,0,79,England,Pakistan,1987/01/07
GA Gooch,47,0,93,England,West Indies,1987/10/09
GA Gooch,47,0,74,England,New Zealand,1991/02/16
GA Gooch,47,0,65,England,New Zealand,1992/01/11
IT Botham,47,0,63,England,Sri Lanka,1992/03/09
GA Hick,47,0,63,England,West Indies,1994/02/16
AJ Stewart,47,0,66,England,Pakistan,1997/12/15
NH Fairbrother,47,0,82,England,Australia,1999/01/10
N Hussain,47,0,62,England,Australia,1999/01/15
CS Cowdrey,46,1,42,England,India,1985/01/23
MW Gatting,46,1,40,England,Sri Lanka,1987/10/30
NH Fairbrother,46,1,38,England,India,1993/01/18
JM Brearley,46,0,112,England,Australia,1979/02/07
G Miller,46,0,48,England,New Zealand,1983/02/23
BC Broad,46,0,95,England,Australia,1987/01/26
MW Gatting,46,0,54,England,Australia,1987/01/26
MA Atherton,46,0,74,England,West Indies,1994/02/26
GP Thorpe,46,0,69,England,South Africa,1996/02/25
AJ Stewart,46,0,32,England,Pakistan,1996/08/31
AJ Hollioake,46,0,63,England,South Africa,1998/05/23
AJ Hollioake,46,0,74,England,Sri Lanka,1999/01/29
RC Irani,45,1,63,England,Pakistan,1996/08/31
GP Thorpe,45,1,43,England,Australia,1997/05/25
BC Rose,45,0,106,England,Pakistan,1977/12/30
CJ Tavare,45,0,91,England,New Zealand,1983/06/09
G Fowler,45,0,58,England,India,1985/01/20
AJ Lamb,45,0,71,England,India,1986/05/26
BC Broad,45,0,58,England,Australia,1987/01/22
IT Botham,45,0,87,England,Australia,1987/02/01
DI Gower,45,0,47,England,Australia,1987/02/08
AJ Lamb,45,0,55,England,Australia,1987/11/08
GA Gooch,45,0,75,England,India,1990/07/18
GA Gooch,45,0,42,England,Pakistan,1992/08/24
GA Gooch,45,0,61,England,India,1993/02/26
RA Smith,45,0,59,England,West Indies,1994/03/05
D Gough,45,0,49,England,Australia,1995/01/10
MA Ealham,45,0,37,England,West Indies,1998/04/01
GA Hick,45,0,85,England,West Indies,1998/04/04
NV Knight,45,0,74,England,Sri Lanka,1999/01/23
PR Downton,44,1,41,England,India,1984/12/27
JJ Whitaker,44,1,53,England,Pakistan,1987/04/07
GP Thorpe,44,1,66,England,U.A.E.,1996/02/18
GRJ Roope,44,0,103,England,New Zealand,1973/07/20
JM Brearley,44,0,147,England,Australia,1979/06/09
DI Gower,44,0,58,England,West Indies,1979/11/28
VJ Marks,44,0,40,England,India,1984/12/27
BC Broad,44,0,86,England,Australia,1987/04/09
RT Robinson,44,0,68,England,New Zealand,1988/03/12
W Larkins,44,0,72,England,New Zealand,1990/12/07
MA Ealham,44,0,37,England,South Africa,1998/10/25
RJ Bailey,43,1,34,England,Sri Lanka,1988/09/04
DB Close,43,0,40,England,Australia,1972/08/26
JD Love,43,0,53,England,Australia,1981/06/06
MW Gatting,43,0,47,England,New Zealand,1983/06/09
AJ Lamb,43,0,83,England,New Zealand,1984/02/18
G Fowler,43,0,66,England,Pakistan,1984/03/09
MW Gatting,43,0,47,England,Pakistan,1987/10/12
GA Gooch,43,0,59,England,Pakistan,1987/11/18
GA Gooch,43,0,93,England,West Indies,1988/05/19
RA Smith,43,0,76,England,West Indies,1990/03/03
GA Hick,43,0,64,England,South Africa,1996/01/21
MA Atherton,43,0,82,England,New Zealand,1997/03/04
DW Randall,42,1,50,England,New Zealand,1979/06/20
IT Botham,42,1,49,England,West Indies,1980/05/30
GA Hick,42,1,46,England,Pakistan,1992/08/24
A Flintoff,42,1,45,England,Zimbabwe,2000/07/13
GD Barlow,42,0,66,England,Australia,1977/06/02
DW Randall,42,0,76,England,Australia,1979/12/11
P Willey,42,0,66,England,Australia,1981/06/08
DI Gower,42,0,59,England,India,1982/01/27
IJ Gould,42,0,42,England,Australia,1983/01/26
CWJ Athey,42,0,90,England,Pakistan,1987/01/05
DI Gower,42,0,42,England,West Indies,1987/01/17
MW Gatting,42,0,43,England,New Zealand,1988/03/09
AJ Lamb,42,0,62,England,Pakistan,1989/10/22
W Larkins,42,0,68,England,India,1989/10/25
GA Gooch,42,0,102,England,West Indies,1990/03/15
RJ Bailey,42,0,54,England,West Indies,1990/03/15
AJ Stewart,42,0,59,England,New Zealand,1990/12/13
AJ Lamb,42,0,53,England,New Zealand,1991/02/16
GA Gooch,42,0,62,England,Pakistan,1992/08/20
RA Smith,42,0,106,England,India,1993/01/21
GA Gooch,42,0,77,England,Australia,1993/05/23
AJ Stewart,42,0,68,England,New Zealand,1997/03/02
NV Knight,42,0,60,England,India,1997/12/11
NV Knight,42,0,73,England,Australia,1999/01/26
GA Hick,42,0,58,England,Australia,1999/02/10
CJ Adams,42,0,69,England,South Africa,2000/01/26
GP Thorpe,42,0,76,England,West Indies,2000/07/09
RJ Bailey,41,1,83,England,Pakistan,1985/03/26
G Boycott,41,0,90,England,Australia,1972/08/28
CT Radley,41,0,64,England,New Zealand,1978/07/15
DW Randall,41,0,40,England,New Zealand,1978/07/17
IT Botham,41,0,47,England,New Zealand,1983/01/13
MW Gatting,41,0,56,England,Pakistan,1987/05/25
MW Gatting,41,0,45,England,Australia,1987/11/08
AJ Stewart,41,0,74,England,Australia,1990/12/09
RA Smith,41,0,72,England,New Zealand,1990/12/15
GA Gooch,41,0,79,England,Australia,1990/12/16
GA Gooch,41,0,60,England,New Zealand,1991/02/13
GA Hick,41,0,62,England,Sri Lanka,1992/03/09
AJ Stewart,41,0,59,England,New Zealand,1992/03/15
NH Fairbrother,41,0,39,England,India,1993/03/05
MA Atherton,41,0,56,England,West Indies,1994/03/05
MP Maynard,41,0,53,England,Pakistan,1996/08/29
AJ Stewart,41,0,37,England,Zimbabwe,1997/01/01
AD Brown,41,0,47,England,Pakistan,1997/12/15
GA Hick,41,0,95,England,Zimbabwe,2000/07/22
CWJ Athey,40,1,55,England,Sri Lanka,1987/10/30
MW Gatting,40,1,58,England,West Indies,1988/05/23
DL Amiss,40,0,59,England,Australia,1972/08/28
AW Greig,40,0,28,England,India,1974/07/13
AJ Lamb,40,0,52,England,West Indies,1987/10/26
AJ Stewart,40,0,35,England,Australia,1990/12/16
W Larkins,40,0,84,England,Australia,1991/01/01
AJ Stewart,40,0,40,England,New Zealand,1991/02/09
AJ Lamb,40,0,61,England,New Zealand,1992/02/12
IT Botham,40,0,69,England,Pakistan,1992/08/22
MA Ealham,40,0,34,England,India,1996/05/23
AJ Stewart,40,0,40,England,Australia,1997/05/24
GA Hick,40,0,53,England,Pakistan,1997/12/15
NV Knight,40,0,54,England,Sri Lanka,1999/01/11
G Boycott,39,1,107,England,Australia,1979/01/24
RC Russell,39,1,19,England,South Africa,1996/01/14
KWR Fletcher,39,0,59,England,India,1974/07/13
D Lloyd,39,0,81,England,India,1974/07/15
CM Old,39,0,31,England,Pakistan,1974/08/31
DW Randall,39,0,29,England,West Indies,1976/08/30
DI Gower,39,0,62,England,New Zealand,1983/06/09
MW Gatting,39,0,53,England,India,1986/05/26
DR Pringle,39,0,55,England,West Indies,1988/05/21
